Security Code,Security Name,Category of person,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Price,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Exchange on which the Trade was executed,Reported to Exchange
532977,BAJAJ AUTO LTD.,Designated Person,356,1655400,,Disposal,NSE,30-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,650,3038750,,Disposal,NSE,30-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,279,1291123,,Disposal,NSE,30-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,930,4312577,,Disposal,NSE,23-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,880,4030611,,Disposal,NSE,21-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,4164,19383420,,Disposal,NSE,21-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,2370,10804830,,Disposal,NSE,16-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,1764,8286143,,Disposal,NSE,16-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,350,1665650,,Disposal,NSE,16-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,639,3016719,,Disposal,NSE,16-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,150,707280,,Disposal,NSE,14-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,458,2177790,,Disposal,NSE,14-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,279,1333620,,Disposal,NSE,14-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,62,272754,,Disposal,NSE,12-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,500,2376950,,Disposal,NSE,12-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,501,2379735,,Disposal,NSE,12-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,1200,5736000,,Disposal,NSE,12-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,100,480000,,Disposal,NSE,9-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,1859,8945508,,Disposal,NSE,9-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,133,638001,,Disposal,NSE,9-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,475,2226800,,Disposal,NSE,9-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,788,3756593,,Disposal,NSE,9-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,200,942000,,Disposal,NSE,7-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,149,704025,,Disposal,NSE,7-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,160,746240,,Disposal,NSE,6-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,148,695600,,Disposal,NSE,6-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,543,2554815,,Disposal,NSE,5-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,50,227851,,Disposal,NSE,2-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,450,2088900,,Disposal,NSE,2-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,856,3947872,,Disposal,NSE,2-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,50,234603,,Disposal,NSE,2-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,50,231500,,Disposal,NSE,2-Jun-23
532977,BAJAJ AUTO LTD.,Designated Person,100,455501,,Disposal,NSE,30-May-23
532977,BAJAJ AUTO LTD.,Designated Person,300,1344300,,Disposal,NSE,25-May-23
532977,BAJAJ AUTO LTD.,Designated Person,257,1160355,,Disposal,NSE,24-May-23
532977,BAJAJ AUTO LTD.,Designated Person,9686,43317051,,Disposal,NSE,22-May-23
532977,BAJAJ AUTO LTD.,Designated Person,300,1367400,,Disposal,NSE,22-May-23
532977,BAJAJ AUTO LTD.,Designated Person,6259,28104412,,Disposal,NSE,22-May-23
532977,BAJAJ AUTO LTD.,Designated Person,557,2530451,,Disposal,NSE,18-May-23
532977,BAJAJ AUTO LTD.,Designated Person,232,1061400,,Disposal,NSE,16-May-23
532977,BAJAJ AUTO LTD.,Designated Person,115,524055,,Disposal,NSE,16-May-23
532977,BAJAJ AUTO LTD.,Designated Person,508,2313158,,Disposal,NSE,12-May-23
532977,BAJAJ AUTO LTD.,Designated Person,1000,4610000,,Disposal,NSE,12-May-23
532977,BAJAJ AUTO LTD.,Designated Person,1424,6507680,,Disposal,NSE,12-May-23
532977,BAJAJ AUTO LTD.,Designated Person,210,956340,,Disposal,NSE,10-May-23
532977,BAJAJ AUTO LTD.,Designated Person,7840,34957306,,Disposal,NSE,8-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,2500,3030875,1212.35,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,2450,1515570,618.6,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1300,1386515,1066.55,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,2000,2137400,1068.7,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,900,423720,470.8,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,2500,3082250,1232.9,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,950,1096680,1154.4,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1150,501228,435.8504348,Acquisition,NA,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,6200,6665000,1075,Revoke,NA,21-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1875,2216719,1182.250133,Acquisition,NA,15-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1500,1740675,1160.45,Acquisition,NA,15-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,5000,5794500,1158.9,Acquisition,NA,15-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1500,1755600,1170.4,Acquisition,NA,15-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1250,1304250,1043.4,Acquisition,NA,15-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1250,1429000,1143.2,Acquisition,NA,15-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1350,1512270,1120.2,Acquisition,NA,17-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,625,700125,1120.2,Acquisition,NA,5-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,833,972178,1167.080432,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1000,1178000,1178,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,104000,520,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1000,1212000,1212,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,99000,495,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,50,28100,562,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,600,708000,1180,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1300,1369940,1053.8,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,300,363600,1212,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,102200,511,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,106000,530,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,300,328701,1095.67,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,108000,540,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,100,105700,1057,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,110000,550,Disposal,NSE,25-Jul-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,4683,5942727,,Disposal,NSE,30-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1362,1717482,,Disposal,NSE,30-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,200,243910,,Disposal,NSE,28-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,3000,3748650,,Disposal,NSE,28-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,1000,1215580,,Disposal,NSE,23-Jun-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,2250,2445930,,Disposal,NSE,16-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,625,676200,,Disposal,NSE,5-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,500,576905,,Disposal,NSE,4-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,500,590000,,Disposal,NSE,4-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,500,596000,,Disposal,NSE,4-May-23
500031,BAJAJ ELECTRICALS LTD.-$,Designated Person,500,576835,,Disposal,NSE,4-May-23
500034,Bajaj Finance Limited,Promoter Group,2000,14769900,7384.95,Acquisition,NA,23-Jun-23
500034,Bajaj Finance Limited,Promoter Group,2000,14769900,7384.95,Acquisition,NA,23-Jun-23
500034,Bajaj Finance Limited,Promoter Group,2000,14769900,7384.95,Acquisition,NA,23-Jun-23
500034,Bajaj Finance Limited,Promoter Group,2000,14769900,7384.95,Acquisition,NA,23-Jun-23
500034,Bajaj Finance Limited,Promoter Group,2000,14769900,7384.95,Acquisition,NA,23-Jun-23
500034,Bajaj Finance Limited,Promoter Group,10000,73849500,7384.95,Disposal,NA,23-Jun-23
500034,Bajaj Finance Limited,Trust,489305,1495658007,3056.698801,Acquisition,NA,6-Jun-23
500034,Bajaj Finance Limited,Director,72411,40499090,559.2947204,Acquisition,NA,12-May-23
500034,Bajaj Finance Limited,Designated Person,6325,12143684,1919.95004,Acquisition,NA,12-May-23
500034,Bajaj Finance Limited,Designated Person,8675,16654699,1919.850029,Acquisition,NA,10-May-23
500034,Bajaj Finance Limited,Director,242874,1607583006,6619,Revoke,NA,9-May-23
500034,Bajaj Finance Limited,Director,242874,209774534,863.7175408,Acquisition,NA,9-May-23
500034,Bajaj Finance Limited,Director,242874,1610497494,6631,Pledge,NA,9-May-23
500034,Bajaj Finance Limited,Designated Person,5000,33045500,,Disposal,NSE,10-May-23
500034,Bajaj Finance Limited,Designated Person,3000,19870800,,Disposal,NSE,9-May-23
500034,Bajaj Finance Limited,Designated Person,5500,36069000,,Disposal,NSE,9-May-23
500034,Bajaj Finance Limited,Director,32000,212997120,,Disposal,NSE,9-May-23
500034,Bajaj Finance Limited,Director,242874,1595439306,,Disposal,NSE,9-May-23
532978,BAJAJ FINSERV LTD.,Promoter Group,111330,171659727,1541.9,Acquisition,NA,23-Jun-23
532978,BAJAJ FINSERV LTD.,Promoter Group,111320,171644308,1541.9,Acquisition,NA,23-Jun-23
532978,BAJAJ FINSERV LTD.,Promoter Group,111330,171659727,1541.9,Acquisition,NA,23-Jun-23
532978,BAJAJ FINSERV LTD.,Promoter Group,111320,171644308,1541.9,Acquisition,NA,23-Jun-23
532978,BAJAJ FINSERV LTD.,Promoter Group,556620,858252378,1541.9,Disposal,NA,23-Jun-23
532978,BAJAJ FINSERV LTD.,Promoter Group,111320,171644308,1541.9,Acquisition,NA,23-Jun-23
532978,BAJAJ FINSERV LTD.,Employees Immediate Relative,1380,1392613,1009.139855,Acquisition,NA,9-May-23
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Promoter Group,200,1396610,6983.05,Acquisition,NA,23-Jun-23
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Promoter Group,200,1396610,6983.05,Acquisition,NA,23-Jun-23
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Promoter Group,1000,6983050,6983.05,Disposal,NA,23-Jun-23
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Promoter Group,200,1396610,6983.05,Acquisition,NA,23-Jun-23
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Promoter Group,200,1396610,6983.05,Acquisition,NA,23-Jun-23
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Promoter Group,200,1396610,6983.05,Acquisition,NA,23-Jun-23
507944,BAJAJ STEEL INDUSTRIES LTD.,Promoter,250000,0,0,Acquisition,NA,1-Jul-23
507944,BAJAJ STEEL INDUSTRIES LTD.,Promoter,250000,0,0,Disposal,NA,1-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter & Director,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter & Director,1350000,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,337500,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,337500,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,337500,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter,1687500,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter & Director,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter & Director,1350000,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter & Director,1350000,0,0,Acquisition,NA,10-Jul-23
524602,Bandaram Pharma Packtech Ltd,Promoter & Director,0,0,#DIV/0!,Acquisition,NA,10-Jul-23
532916,BARAK VALLEY CEMENTS LTD.,Directors Immediate Relative,269554,9809205,,Disposal,NSE,1-Jul-23
532916,BARAK VALLEY CEMENTS LTD.,Directors Immediate Relative,230446,7846133,,Disposal,NSE,1-Jul-23
532916,BARAK VALLEY CEMENTS LTD.,Directors Immediate Relative,267000,9784376,,Acquisition,NSE,1-Jul-23
532916,BARAK VALLEY CEMENTS LTD.,Directors Immediate Relative,230446,7901209,,Acquisition,NSE,1-Jul-23
500270,BARODA RAYON CORPORATION LTD.,Promoter Group,38377,230262,6,Disposal,NA,10-Jul-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,38377,230262,6,Acquisition,NA,7-Jul-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,9744,58464,6,Acquisition,NA,17-Jun-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,6913,41478,6,Disposal,NA,17-Jun-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,6913,41478,6,Acquisition,NA,17-Jun-23
500270,BARODA RAYON CORPORATION LTD.,Promoter Group,9744,58464,6,Disposal,NA,17-Jun-23
500270,BARODA RAYON CORPORATION LTD.,Promoter Group,453255,2719530,6,Disposal,NA,26-May-23
500270,BARODA RAYON CORPORATION LTD.,Promoter & Director,453255,2719530,6,Acquisition,NA,26-May-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,50555,303330,6,Disposal,NA,25-May-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,50555,303330,6,Acquisition,NA,25-May-23
500270,BARODA RAYON CORPORATION LTD.,Promoter,6120,36720,6,Acquisition,NA,16-May-23
500270,BARODA RAYON CORPORATION LTD.,Promoter Group,6120,36720,6,Disposal,NA,16-May-23
517246,BCC FUBA INDIA LTD.,Promoter,50000,0,0,Acquisition,NA,20-Jun-23
517246,BCC FUBA INDIA LTD.,Other,50000,0,0,Disposal,NA,20-Jun-23
517246,BCC FUBA INDIA LTD.,Promoter,50000,1350000,27,Acquisition,NA,7-Jun-23
517246,BCC FUBA INDIA LTD.,Other,50000,1350000,27,Disposal,NA,7-Jun-23
517246,BCC FUBA INDIA LTD.,Other,50000,1350000,27,Disposal,NA,7-Jun-23
517246,BCC FUBA INDIA LTD.,Directors Immediate Relative,50000,1350000,27,Acquisition,NA,7-Jun-23
517246,BCC FUBA INDIA LTD.,Promoter,165000,4455000,27,Disposal,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter Group,50000,1350000,27,Acquisition,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter Group,100000,2700000,27,Disposal,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter Group,50000,1350000,27,Disposal,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter Group,100000,2700000,27,Disposal,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter Group,100000,2700000,27,Acquisition,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter Group,165000,4455000,27,Acquisition,NA,25-May-23
517246,BCC FUBA INDIA LTD.,Promoter,100000,2700000,27,Acquisition,NA,25-May-23
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
509480,BERGER PAINTS INDIA LTD.,Other,2668,1803195,,Acquisition,NSE,30-Jun-23
509480,BERGER PAINTS INDIA LTD.,Designated Person,500,339720,,Disposal,NSE,28-Jun-23
509480,BERGER PAINTS INDIA LTD.,Designated Person,308,204035,,Disposal,NSE,13-Jun-23
509480,BERGER PAINTS INDIA LTD.,Designated Person,200,131670,,Disposal,NSE,12-Jun-23
509480,BERGER PAINTS INDIA LTD.,Designated Person,780,500760,,Disposal,NSE,30-May-23
532430,BF UTILITIES LTD.-$,Connected Person,10000,3820811,,Acquisition,NSE,30-Jun-23
539799,Bharat Wire Ropes Ltd,Employee,50000,8570000,171.4,Acquisition,NA,6-Jul-23
539799,Bharat Wire Ropes Ltd,KMP,5000,889500,177.9,Acquisition,NA,16-Jun-23
539799,Bharat Wire Ropes Ltd,Designated Person,50000,8895000,177.9,Acquisition,NA,16-Jun-23
539799,Bharat Wire Ropes Ltd,Designated Person,25378,4700619,185.2241705,Disposal,NSE,30-Jun-23
543653,Bikaji Foods International Ltd,Promoter & Director,1000000,422500300,422.5003,Disposal,NSE,29-Jun-23
532523,BIOCON LTD.,Designated Person,40000,10552000,263.8,Acquisition,NA,18-Jul-23
532523,BIOCON LTD.,Designated Person,5000,1319000,263.8,Acquisition,NA,18-Jul-23
532523,BIOCON LTD.,Designated Person,11849,3085183,260.3749684,Acquisition,NA,6-Jul-23
532523,BIOCON LTD.,Designated Person,10125,2636297,260.3750123,Acquisition,NA,6-Jul-23
532523,BIOCON LTD.,Designated Person,4000,1041500,260.375,Acquisition,NA,6-Jul-23
532523,BIOCON LTD.,Designated Person,30000,7170900,239.03,Acquisition,NA,23-Jun-23
532523,BIOCON LTD.,Designated Person,43100,10397875,241.25,Acquisition,NA,16-Jun-23
532523,BIOCON LTD.,Designated Person,159400,38321784,240.4126976,Acquisition,NA,9-Jun-23
532523,BIOCON LTD.,Designated Person,45000,11121750,247.15,Acquisition,NA,19-May-23
532523,BIOCON LTD.,Connected Person,36670,9459901,,Disposal,NSE,6-Jul-23
532523,BIOCON LTD.,Designated Person,40000,9800000,,Disposal,NSE,3-Jul-23
532523,BIOCON LTD.,Designated Person,500,120750,,Disposal,NSE,3-Jul-23
532523,BIOCON LTD.,Designated Person,18500,4533750,,Disposal,NSE,3-Jul-23
532523,BIOCON LTD.,Designated Person,10000,2446500,,Disposal,NSE,3-Jul-23
532523,BIOCON LTD.,Designated Person,3000,738000,,Disposal,NSE,3-Jul-23
532523,BIOCON LTD.,Designated Person,20000,5220000,,Disposal,NSE,3-Jul-23
532523,BIOCON LTD.,Other,23000,5635035,,Disposal,NSE,23-Jun-23
532523,BIOCON LTD.,Designated Person,23000,5635035,,Disposal,NSE,23-Jun-23
532523,BIOCON LTD.,Other,159400,38321784,,Disposal,NSE,9-Jun-23
532523,BIOCON LTD.,Designated Person,159400,38321784,,Disposal,NSE,9-Jun-23
532523,BIOCON LTD.,Designated Person,22000,5289900,,Disposal,NSE,31-May-23
524396,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,Promoter Group,127319,0,0,Disposal,NA,28-Jun-23
524396,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,Promoter Group,42440,0,0,Acquisition,NA,28-Jun-23
524396,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,Promoter Group,42440,0,0,Acquisition,NA,28-Jun-23
524396,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,Promoter Group,42439,0,0,Acquisition,NA,28-Jun-23
532400,Birlasoft Ltd,Designated Person,40000,2478000,61.95,Acquisition,NA,6-Jul-23
532400,Birlasoft Ltd,Designated Person,40000,2478000,61.95,Acquisition,NA,6-Jul-23
532400,Birlasoft Ltd,Designated Person,28000,1734600,61.95,Acquisition,NA,6-Jul-23
532400,Birlasoft Ltd,Designated Person,64480,3994536,61.95,Acquisition,NA,6-Jul-23
532400,Birlasoft Ltd,Designated Person,15000,3747750,249.85,Acquisition,NA,6-Jul-23
532400,Birlasoft Ltd,Designated Person,4000,247800,61.95,Acquisition,NA,23-May-23
532400,Birlasoft Ltd,Designated Person,2500,154875,61.95,Acquisition,NA,19-May-23
532400,Birlasoft Ltd,Designated Person,15190,4687634,308.6,Revoke,NA,19-May-23
532400,Birlasoft Ltd,Designated Person,10000,3381260,,Disposal,NSE,23-Jun-23
532400,Birlasoft Ltd,Designated Person,2701,913478,,Disposal,NSE,9-Jun-23
532400,Birlasoft Ltd,Designated Person,2489,851238,,Disposal,NSE,9-Jun-23
532400,Birlasoft Ltd,Designated Person,5000,1700000,,Disposal,NSE,6-Jun-23
532400,Birlasoft Ltd,Designated Person,10000,3420079,,Disposal,NSE,6-Jun-23
532400,Birlasoft Ltd,Designated Person,10000,3325060,,Disposal,NSE,1-Jun-23
532400,Birlasoft Ltd,Designated Person,2500,827674,,Disposal,NSE,29-May-23
532400,Birlasoft Ltd,Designated Person,994,338001,,Disposal,NSE,29-May-23
532400,Birlasoft Ltd,Designated Person,500,167500,,Disposal,NSE,26-May-23
532400,Birlasoft Ltd,Designated Person,1050,350200,,Disposal,NSE,26-May-23
532400,Birlasoft Ltd,Designated Person,2500,844175,,Disposal,NSE,26-May-23
532400,Birlasoft Ltd,Designated Person,500,169400,,Disposal,NSE,23-May-23
532400,Birlasoft Ltd,Designated Person,30000,9750000,,Disposal,NSE,23-May-23
532400,Birlasoft Ltd,Designated Person,50000,17000000,,Disposal,NSE,23-May-23
532400,Birlasoft Ltd,Designated Person,2950,973475,,Disposal,NSE,23-May-23
532400,Birlasoft Ltd,Designated Person,6500,2122430,,Disposal,NSE,19-May-23
532400,Birlasoft Ltd,Designated Person,2000,616212,,Disposal,NSE,19-May-23
532400,Birlasoft Ltd,Designated Person,165000,50701209,,Disposal,NSE,18-May-23
532400,Birlasoft Ltd,Designated Person,5000,1628571,,Disposal,NSE,18-May-23
532400,Birlasoft Ltd,Designated Person,15310,4670791,,Invoke,NSE,12-May-23
532400,Birlasoft Ltd,Designated Person,20000,6134317,,Disposal,NSE,12-May-23
519500,BKV INDUSTRIES LTD.,Promoter & Director,158822,0,0,Acquisition,NA,19-Jul-23
506197,BLISS GVS PHARMA LTD.,Promoter & Director,115000,0,,Acquisition,NSE,19-Jun-23
540073,BLS International Services Ltd,Promoter & Director,11200000,1962688000,,Disposal,NSE,19-May-23
543442,Brand Concepts Ltd,Promoter,202096,62767808,,Disposal,NSE,22-Jun-23
543442,Brand Concepts Ltd,Promoter & Director,103358,32092722,,Disposal,NSE,22-Jun-23
543425,C.E. Info Systems Ltd,Designated Person,5000,6071576,,Disposal,NSE,5-Jul-23
543425,C.E. Info Systems Ltd,Designated Person,7600,9132522,,Disposal,NSE,5-Jul-23
543425,C.E. Info Systems Ltd,Designated Person,1000,1255849,,Disposal,NSE,5-Jul-23
543425,C.E. Info Systems Ltd,Designated Person,1000,1200079,,Disposal,NSE,30-Jun-23
543425,C.E. Info Systems Ltd,Designated Person,1000,1202810,,Disposal,NSE,30-Jun-23
543425,C.E. Info Systems Ltd,Designated Person,1500,1794500,,Disposal,NSE,30-Jun-23
543425,C.E. Info Systems Ltd,Designated Person,1000,1221791,,Disposal,NSE,30-Jun-23
543425,C.E. Info Systems Ltd,Designated Person,1000,1224400,,Disposal,NSE,30-Jun-23
532801,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Trust,23500,893000,38,Disposal,NA,14-Jul-23
532801,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Director,20000,760000,38,Acquisition,NA,14-Jul-23
532801,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Designated Person,50000,1900000,38,Acquisition,NA,30-Jun-23
532801,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Trust,50500,1919000,38,Disposal,NA,30-Jun-23
532801,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Designated Person,9000,667142,,Disposal,NSE,30-Jun-23
532801,CAMBRIDGE TECHNOLOGY ENTERPRISES LTD.,Immediate Relative,1000,72294,,Disposal,NSE,30-Jun-23
543523,Campus Activewear Ltd,Designated Person,50000,9858000,,Acquisition,NSE,6-Jul-23
543523,Campus Activewear Ltd,Designated Person,7100,2230888,,Disposal,NSE,5-Jul-23
543523,Campus Activewear Ltd,Designated Person,75802,23543175,,Disposal,NSE,5-Jul-23
543523,Campus Activewear Ltd,Designated Person,30745,9630026,,Disposal,NSE,5-Jul-23
543523,Campus Activewear Ltd,Designated Person,5855,1852392,,Disposal,NSE,5-Jul-23
543523,Campus Activewear Ltd,Designated Person,10144,3189274,,Disposal,NSE,3-Jul-23
543523,Campus Activewear Ltd,Designated Person,6000,1877490,,Disposal,NSE,3-Jul-23
543523,Campus Activewear Ltd,Designated Person,3804,749997,,Acquisition,NSE,30-Jun-23
543523,Campus Activewear Ltd,Designated Person,10144,1999991,,Acquisition,NSE,30-Jun-23
543523,Campus Activewear Ltd,Designated Person,1508,474266,,Disposal,NSE,30-Jun-23
543523,Campus Activewear Ltd,Designated Person,15216,4773833,,Disposal,NSE,30-Jun-23
543523,Campus Activewear Ltd,Designated Person,15000,4738800,,Disposal,NSE,30-Jun-23
543523,Campus Activewear Ltd,Designated Person,15216,2999987,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,20000,3943200,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,5706,1124995,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,10144,1999991,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,12680,2499989,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,9130,1800071,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,5072,999996,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,8115,1599953,,Acquisition,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,2000,631600,,Disposal,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,2000,634000,,Disposal,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,10144,3205504,,Disposal,NSE,29-Jun-23
543523,Campus Activewear Ltd,Designated Person,4058,800075,,Acquisition,NSE,28-Jun-23
543523,Campus Activewear Ltd,Designated Person,7608,1500069,,Acquisition,NSE,28-Jun-23
