Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
532187,INDUSIND BANK LTD.,MOHIT KUMAR JAIN,Designated Person,Equity Shares,2740,0.00,Equity Shares,2720,3909374.00,Revoke,Equity,2740,0.00,24 Jul 2023,24 Jul 2023,25 Jul 2023,Revocation Of Pledge,,,,,,,NA,26 Jul 2023
532187,INDUSIND BANK LTD.,Srinivas Reddy Vedumula,Designated Person,Equity Shares,26500,0.00,Equity Shares,3500,5047000.00,Disposal,Equity,23000,0.00,25 Jul 2023,25 Jul 2023,26 Jul 2023,Market Sale,,,,,,,NSE,26 Jul 2023
532187,INDUSIND BANK LTD.,SIDDHARTH BANERJEE,Designated Person,Equity Shares,150174,0.02,Equity Shares,1000,1435000.00,Revoke,Equity,150174,0.02,24 Jul 2023,24 Jul 2023,24 Jul 2023,Revocation Of Pledge,,,,,,,NA,26 Jul 2023
540376,Avenue Supermarts Ltd,HITESH BACHUBHAI SHAH,Designated Person,Equity Shares,436500,0.07,Equity Shares,1000,3667961.00,Disposal,Equity,435500,0.07,24 Jul 2023,24 Jul 2023,26 Jul 2023,Market Sale,,,,,,,NSE,26 Jul 2023
540376,Avenue Supermarts Ltd,ABHIJEET JANARDAN GIRME,Designated Person,Equity Shares,765,0.00,Equity Shares,60,222600.00,Disposal,Equity,705,0.00,26 Jul 2023,26 Jul 2023,26 Jul 2023,Market Sale,,,,,,,NSE,26 Jul 2023
540376,Avenue Supermarts Ltd,RAJAN ARORA,Designated Person,Equity Shares,356500,0.05,Equity Shares,15000,55521578.00,Disposal,Equity,341500,0.05,20 Jul 2023,20 Jul 2023,24 Jul 2023,Market Sale,,,,,,,BSE,26 Jul 2023
532686,KERNEX MICROSYSTEMS (INDIA) LTD.,Enact Technologies Private Limited,Other,Equity Shares,60000,0.38,Equity Shares,3711,0.00,Disposal,Equity,56289,0.36,17 Jul 2023,21 Jul 2023,24 Jul 2023,Market Sale,,,,,,,NSE,26 Jul 2023
504067,ZENSAR TECHNOLOGIES LTD.,Vikas Vijaywargiya,Designated Person,Equity Shares,11100,0.00,Equity Shares,5000,2400000.00,Disposal,Equity,6100,0.00,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,26 Jul 2023
541703,Ganesh Films India Ltd,GAURAV KUMAR,Promoter & Director,Equity Shares,625213,20.79,Equity Shares,35200,772912.00,Disposal,Equity,590013,19.62,21 Jun 2023,20 Jul 2023,26 Jul 2023,Market Sale,,,,,,,BSE,26 Jul 2023
543516,Dhyaani Tile and Marblez Ltd,MRS. ILABBEN RAJYAGURU,Promoter Group,Equity Shares,24000,1.58,Equity Shares,1000,66000.00,Disposal,Equity,23000,1.51,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,BSE,26 Jul 2023
543516,Dhyaani Tile and Marblez Ltd,MR. NAAYANBHAI RAJYAGURU,Promoter Group,Equity Shares,8000,0.53,Equity Shares,6000,395000.00,Disposal,Equity,2000,0.13,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,BSE,26 Jul 2023
540115,L&T Technology Services Ltd,Amit Chadha,Director,Equity Shares,141600,0.13,Equity Shares,3000,12057000.00,Disposal,Equity,138600,0.13,24 Jul 2023,24 Jul 2023,24 Jul 2023,Market Sale,,,,,,,NSE,26 Jul 2023
511571,SOM DATT FINANCE CORPORATION LTD.,Mrs. Vijay Rathee,Director,Equity Shares,3397459,33.95,Equity Shares,3397459,115098400.00,Disposal,Equity,0,0.00,21 Jul 2023,21 Jul 2023,21 Jul 2023,Off Market,,,,,,,NA,25 Jul 2023
541083,Inflame Appliances Ltd,ASHWANI KUMAR GOEL,Director,Equity Shares,350000,4.77,Equity Shares,40000,23410000.00,Disposal,Equity,310000,4.22,13 Jul 2023,13 Jul 2023,24 Jul 2023,Market Sale,,,,,,,BSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,3950,0.00,Equity Shares,2500,3030875.00,Acquisition,Equity,6450,0.01,03 Sep 2021,03 Sep 2021,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
542772,360 ONE WAM LTD,AMARINDER SINGH BRAR,Employee,Equity Shares,5400,0.00,Equity Shares,2640,1383393.00,Disposal,Equity,2760,0.00,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
511571,SOM DATT FINANCE CORPORATION LTD.,Mr. Kuldip Singh Rathee,Director,Equity Shares,3542191,35.39,Equity Shares,3542191,120001600.00,Disposal,Equity,0,0.00,21 Jul 2023,21 Jul 2023,21 Jul 2023,Off Market,,,,,,,NA,25 Jul 2023
509051,INDIAN INFOTECH & SOFTWARE LTD.,Dhanvarsha Advisory Services,Promoter,Equity Shares,37682233,3.74,Equity Shares,4500000,8756563.00,Disposal,Equity,33182233,3.29,25 Jul 2023,25 Jul 2023,25 Jul 2023,Market Sale,,,,,,,BSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,148,0.00,Equity Shares,1150,501228.00,Acquisition,Equity,1298,0.00,10 Sep 2020,10 Sep 2020,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
513262,STEEL STRIPS WHEELS LTD.-$,JATINDER SINGH,Designated Person,Equity Shares,5760,0.00,Equity Shares,1000,229227.00,Disposal,Equity,4760,0.00,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,650,0.00,Equity Shares,2000,2137400.00,Acquisition,Equity,2650,0.00,17 Feb 2021,17 Feb 2021,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Anju Chhajer,Designated Person,Equity Shares,57689,0.01,Equity Shares,13000,4108000.00,Revoke,Equity,57689,0.01,24 Jul 2023,24 Jul 2023,25 Jul 2023,Revocation Of Pledge,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,1298,0.00,Equity Shares,900,423720.00,Acquisition,Equity,2198,0.00,10 Sep 2020,10 Sep 2020,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500180,HDFC Bank Ltd,Khurshed Bulsara,Designated Person,Equity Shares,3741,0.00,Equity Shares,1000,1693000.00,Disposal,Equity,2741,0.00,25 Jul 2023,25 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,2650,0.00,Equity Shares,1300,1386515.00,Acquisition,Equity,3950,0.00,10 Jun 2021,10 Jun 2021,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
506690,UNICHEM LABORATORIES LTD.,VERA MAHAJAN,Directors Immediate Relative,Equity Shares,4836,0.00,Equity Shares,2000,758940.00,Disposal,Equity,2836,0.00,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,6450,0.01,Equity Shares,2500,3082250.00,Acquisition,Equity,8950,0.01,08 Sep 2022,08 Sep 2022,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
506690,UNICHEM LABORATORIES LTD.,ANAND MAHAJAN,Director,Equity Shares,5029,0.00,Equity Shares,1000,377000.00,Disposal,Equity,4029,0.00,21 Jul 2023,21 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,6517,0.01,Equity Shares,950,1096680.00,Acquisition,Equity,7467,0.01,13 Jun 2023,13 Jun 2023,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
506690,UNICHEM LABORATORIES LTD.,VERA MAHAJAN,Directors Immediate Relative,Equity Shares,6836,0.00,Equity Shares,2000,753500.00,Disposal,Equity,4836,0.00,21 Jul 2023,21 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,0,0.00,Equity Shares,2450,1515570.00,Acquisition,Equity,2450,0.00,15 Dec 2020,15 Dec 2020,22 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
506690,UNICHEM LABORATORIES LTD.,ANAND MAHAJAN,Director,Equity Shares,4029,0.00,Equity Shares,1000,379150.00,Disposal,Equity,3029,0.00,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,HIMANSHU ARORA,Designated Person,Equity Shares,3000,0.00,Equity Shares,7222,1512590.00,Acquisition,Equity,10222,0.00,21 Jul 2023,21 Jul 2023,24 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500180,HDFC Bank Ltd,Rajan Tandon,Designated Person,Equity Shares,156851,0.00,Equity Shares,500,843350.00,Disposal,Equity,156351,0.00,20 Jul 2023,20 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Muneesh Sud,Designated Person,Equity Shares,0,0.00,Equity Shares,101852,20625030.00,Acquisition,Equity,101852,0.02,21 Jul 2023,21 Jul 2023,24 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500180,HDFC Bank Ltd,Rajan Tandon,Designated Person,Equity Shares,156351,0.00,Equity Shares,500,839375.00,Disposal,Equity,155851,0.00,21 Jul 2023,21 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Shadab Ali Shaikh,Designated Person,Equity Shares,0,0.00,Equity Shares,8601,1741703.00,Acquisition,Equity,8601,0.00,21 Jul 2023,21 Jul 2023,24 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
542772,360 ONE WAM LTD,SUMIT VOHRA,Employee,Equity Shares,112368,0.03,Equity Shares,3368,1756953.00,Disposal,Equity,109000,0.03,24 Jul 2023,24 Jul 2023,25 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Anshul Vyas,Designated Person,Equity Shares,0,0.00,Equity Shares,18394,3724785.00,Acquisition,Equity,18394,0.00,21 Jul 2023,21 Jul 2023,24 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,650,0.00,Equity Shares,200,106000.00,Disposal,Equity,450,0.00,12 Nov 2020,12 Nov 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Saugata Chatterjee,Designated Person,Equity Shares,1059,0.00,Equity Shares,10000,2025000.00,Acquisition,Equity,11059,0.00,21 Jul 2023,21 Jul 2023,25 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,2198,0.00,Equity Shares,148,72224.00,Disposal,Equity,2050,0.00,14 Sep 2020,14 Sep 2020,22 Jul 2023,Market Sale,,,,,,,BSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Gurpreet Saini,Designated Person,Equity Shares,0,0.00,Equity Shares,10000,2025000.00,Acquisition,Equity,10000,0.00,21 Jul 2023,21 Jul 2023,24 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,850,0.00,Equity Shares,200,104000.00,Disposal,Equity,650,0.00,11 Nov 2020,11 Nov 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
540767,Nippon Life India Asset Management Ltd,Aashwin Dugal,Designated Person,Equity Shares,0,0.00,Equity Shares,7000,1417500.00,Acquisition,Equity,7000,0.00,21 Jul 2023,21 Jul 2023,24 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,2050,0.00,Equity Shares,200,99000.00,Disposal,Equity,1850,0.00,29 Sep 2020,29 Sep 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
532777,INFO EDGE (INDIA) LTD.,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,159735,0.12,Equity Shares,1288,12880.00,Disposal,Equity,158447,0.12,24 Jul 2023,25 Jul 2023,25 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,50,0.00,Equity Shares,50,28100.00,Disposal,Equity,0,0.00,17 Nov 2020,17 Nov 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
532777,INFO EDGE (INDIA) LTD.,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,159819,0.12,Equity Shares,84,840.00,Disposal,Equity,159735,0.12,21 Jul 2023,21 Jul 2023,21 Jul 2023,ESOP,,,,,,,NA,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,7467,0.01,Equity Shares,300,363600.00,Disposal,Equity,7167,0.01,13 Jun 2023,13 Jun 2023,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
532370,RAMCO SYSTEMS LTD.,Hari Krishnan V,Designated Person,Equity Shares,7873,0.02,Equity Shares,17835,4675819,Acquisition,Equity,25708,0.07,21 Jul 2023,21 Jul 2023,25 Jul 2023,ESOS,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,250,0.00,Equity Shares,200,110000.00,Disposal,Equity,50,0.00,12 Nov 2020,12 Nov 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,8950,0.01,Equity Shares,833,972178.00,Disposal,Equity,8117,0.01,06 Jun 2023,06 Jun 2023,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,7517,0.01,Equity Shares,1000,1178000.00,Disposal,Equity,6517,0.01,12 Jun 2023,12 Jun 2023,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,1050,0.00,Equity Shares,200,102200.00,Disposal,Equity,850,0.00,11 Nov 2020,11 Nov 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,8117,0.01,Equity Shares,600,708000.00,Disposal,Equity,7517,0.01,07 Jun 2023,07 Jun 2023,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,450,0.00,Equity Shares,200,108000.00,Disposal,Equity,250,0.00,12 Nov 2020,12 Nov 2020,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,950,0.00,Equity Shares,300,328701.00,Disposal,Equity,650,0.00,11 Feb 2021,11 Feb 2021,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,1050,0.00,Equity Shares,100,105700.00,Disposal,Equity,950,0.00,09 Feb 2021,09 Feb 2021,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,2450,0.00,Equity Shares,100,99500.00,Disposal,Equity,2350,0.00,08 Feb 2021,08 Feb 2021,22 Jul 2023,Market Sale,,,,,,,BSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,7167,0.01,Equity Shares,1000,1212000.00,Disposal,Equity,6167,0.01,14 Jun 2023,14 Jun 2023,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
500031,BAJAJ ELECTRICALS LTD.-$,RAKESH MOOLCHANDANI,Designated Person,Equity Shares,2350,0.00,Equity Shares,1300,1369940.00,Disposal,Equity,1050,0.00,08 Feb 2021,08 Feb 2021,22 Jul 2023,Market Sale,,,,,,,NSE,25 Jul 2023
507315,SAKTHI SUGARS LTD.,ABT INVESTMENTS INDIA  PRIVATE LIMITED,Promoter Group,Equity Shares,66473540,55.93,Equity Shares,75000,1792500.00,Revoke,Equity,66473540,55.93,18 Jul 2023,18 Jul 2023,22 Jul 2023,Pledge Released,,,,,,,NA,24 Jul 2023
511764,Aastamangalam Finance Ltd,KHUSHBU MOHAN KUMAR JAIN,Promoter & Director,Equity Shares,995000,23.26,Equity Shares,125000,1250000.00,Acquisition,Equity,1120000,17.40,21 Jul 2023,21 Jul 2023,24 Jul 2023,Preferential Offer,,,,,,,BSE,24 Jul 2023
539126,MEP Infrastructure Developers Ltd,JAYANT D. MHAISKAR,Promoter,Equity Shares,14358526,7.83,Equity Shares,2000000,29600000.00,Invoke,Equity,12358526,6.74,09 Jun 2023,09 Jun 2023,24 Jul 2023,Invocation Of Pledged,,,,,,,NA,24 Jul 2023
531279,TRISHAKTI ELECTRONICS & INDUSTRIES LTD.,SHALINI JHANWAR,Promoter,Equity Shares,118959,4.00,Equity Shares,1084,0.00,Acquisition,Equity,120043,4.04,21 Jul 2023,21 Jul 2023,24 Jul 2023,Market Purchase,,,,,,,BSE,24 Jul 2023
500209,INFOSYS LTD.,Infosys Employee Benefits Trust,Trust,Equity Shares,11738357,0.29,Equity Shares,7409,10765277.00,Disposal,Equity,11730948,0.28,18 Jul 2023,18 Jul 2023,19 Jul 2023,Off Market,,,,,,,NA,24 Jul 2023
511764,Aastamangalam Finance Ltd,BHAVIKA M JAIN,Promoter & Director,Equity Shares,1023785,23.93,Equity Shares,125000,1250000.00,Acquisition,Equity,1148785,17.85,21 Jul 2023,21 Jul 2023,24 Jul 2023,Preferential Offer,,,,,,,BSE,24 Jul 2023
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,Mahindra and Mahindra Financial Services Limited Employees' Stock Option Trust,Other,Equity Shares,1839444,0.15,Equity Shares,15521,31042.00,Disposal,Equity,1823923,0.15,20 Jul 2023,20 Jul 2023,21 Jul 2023,ESOP,,,,,,,NA,24 Jul 2023
540691,Aditya Birla Capital Ltd,Rakesh Singh,Designated Person,Equity Shares,590531,0.00,Equity Shares,399680,74040720.00,Pledge,Equity,590531,0.00,18 Jul 2023,18 Jul 2023,21 Jul 2023,Creation Of Pledge,,,,,,,NA,24 Jul 2023
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,Mahindra and Mahindra Financial Services Limited Employees' Stock Option Trust,Other,Equity Shares,1823923,0.15,Equity Shares,17122,856100.00,Disposal,Equity,1806801,0.15,20 Jul 2023,20 Jul 2023,21 Jul 2023,ESOP,,,,,,,NA,24 Jul 2023
533160,D B Realty Ltd,Goenka Family Trust represented through its Trustee/ representatives Mrs. Aseela Goenka Ms. Sunita Goenka and Mr. Alok Agarwal ,Promoter,Equity Shares,39300000,11.16,Equity Shares,4630000,199784500,Acquisition,Equity,43930000,11.96,18 Jul 2023,18 Jul 2023,20 Jul 2023,Allotment,,,,,,,NSE,24 Jul 2023
540691,Aditya Birla Capital Ltd,SAURABH JIVENDRA SHUKLA,Designated Person,Equity Shares,1500,0.00,Equity Shares,10000,1150000.00,Acquisition,Equity,11500,0.00,18 Jul 2023,18 Jul 2023,20 Jul 2023,ESOP,,,,,,,NA,24 Jul 2023
532187,INDUSIND BANK LTD.,SRIRAM A G,Designated Person,Equity Shares,5000,0.00,Equity Shares,3000,4215000.00,Disposal,Equity,2000,0.00,21 Jul 2023,21 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
540691,Aditya Birla Capital Ltd,MUKESH MALIK,Designated Person,Equity Shares,160000,0.00,Equity Shares,170900,2300000.00,Acquisition,Equity,330900,0.00,18 Jul 2023,18 Jul 2023,20 Jul 2023,ESOP,,,,,,,NA,24 Jul 2023
533160,D B Realty Ltd,SB Fortune Realty Private Limited,Promoter,Equity Shares,27300000,7.75,Equity Shares,10500000,453075000,Acquisition,Equity,37800000,10.29,18 Jul 2023,18 Jul 2023,20 Jul 2023,Allotment,,,,,,,NSE,24 Jul 2023
540691,Aditya Birla Capital Ltd,TUSHAR HARENDRA SHAH,Designated Person,Equity Shares,429581,0.00,Equity Shares,20000,19653500.00,Acquisition,Equity,449581,0.00,18 Jul 2023,18 Jul 2023,20 Jul 2023,ESOP,,,,,,,NA,24 Jul 2023
532187,INDUSIND BANK LTD.,ARUN KHURANA,Designated Person,Equity Shares,309261,0.04,Equity Shares,16946,24361400.00,Disposal,Equity,292315,0.04,24 Jul 2023,24 Jul 2023,24 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
533160,D B Realty Ltd,Goenka Family Trust,Promoter Group,Equity Shares,43930000,11.96,Equity Shares,7725000,333333750.00,Acquisition,Equity,51655000,13.38,20 Jul 2023,20 Jul 2023,24 Jul 2023,Allotment,,,,,,,BSE,24 Jul 2023
532187,INDUSIND BANK LTD.,GAURAV KAPUR,Designated Person,Equity Shares,865,0.00,Equity Shares,865,1217072.00,Disposal,Equity,0,0.00,21 Jul 2023,21 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
533160,D B Realty Ltd,Goenka Family Trust,Promoter Group,Equity Shares,51655000,13.38,Equity Shares,7725000,333333750.00,Acquisition,Equity,59380000,15.08,22 Jul 2023,22 Jul 2023,24 Jul 2023,Allotment,,,,,,,NSE,24 Jul 2023
532187,INDUSIND BANK LTD.,SAURABH BHATIANI,Designated Person,Equity Shares,18000,0.00,Equity Shares,1000,1408000.00,Disposal,Equity,17000,0.00,21 Jul 2023,21 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
533160,D B Realty Ltd,SB Fortune Realty Private Limited,Promoter Group,Equity Shares,37800000,10.29,Equity Shares,10950000,472492500.00,Acquisition,Equity,48750000,12.63,20 Jul 2023,20 Jul 2023,24 Jul 2023,Allotment,,,,,,,NSE,24 Jul 2023
532541,Coforge Ltd,Ruchi Kulhari,Employee,Equity Shares,1935,0.00,Equity Shares,1935,8688234.00,Disposal,Equity,0,0.00,23 Jun 2023,23 Jun 2023,20 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
540376,Avenue Supermarts Ltd,VISHWANATH RAMACHANDRA JOSHI,Designated Person,Equity Shares,35000,0.00,Equity Shares,2000,7380000.00,Disposal,Equity,33000,0.00,19 Jul 2023,19 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
540376,Avenue Supermarts Ltd,RAHIMODDIN SHEIKH,Designated Person,Equity Shares,4500,0.00,Equity Shares,302,1117273.00,Disposal,Equity,4198,0.00,19 Jul 2023,19 Jul 2023,21 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
532281,HCL TECHNOLOGIES LTD.,Prahlad Rai Bansal,Designated Person,Equity Shares,2926,0.00,Equity Shares,1800,2093575.00,Disposal,Equity,1126,0.00,18 Jul 2023,19 Jul 2023,20 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
540115,L&T Technology Services Ltd,Sonal Vaidya,Designated Person,Equity Shares,7300,0.01,Equity Shares,300,1208568.00,Disposal,Equity,7000,0.01,24 Jul 2023,24 Jul 2023,24 Jul 2023,Market Sale,,,,,,,NSE,24 Jul 2023
501150,CENTRUM CAPITAL LTD.,Business Match Services India  Private Limited,Promoter,Equity Shares,134499041,32.33,Equity Shares,2800000,59920000.00,Pledge,Equity,134499041,32.33,20 Jul 2023,20 Jul 2023,24 Jul 2023,Creation Of Pledge,,,,,,,NA,24 Jul 2023
530139,KREON FINNANCIAL SERVICES LTD.,JAIJASH TATIA,Promoter & Director,Equity Shares,1945300,14.28,Equity Shares,2029000,42609000.00,Acquisition,Equity,3974300,19.65,20 Jul 2023,20 Jul 2023,21 Jul 2023,Allotment,,,,,,,NA,22 Jul 2023
539017,Star Housing Finance Ltd,Nirmal Kumar Jain,Promoter,Equity Shares,3310687,4.29,Equity Shares,28000,1781640.00,Disposal,Equity,3282687,4.25,19 Jul 2023,19 Jul 2023,20 Jul 2023,Market Sale,,,,,,,BSE,22 Jul 2023
530139,KREON FINNANCIAL SERVICES LTD.,HENNA JAIN,Promoter & Director,Equity Shares,680000,4.99,Equity Shares,2320000,48720000.00,Acquisition,Equity,3000000,14.84,20 Jul 2023,20 Jul 2023,21 Jul 2023,Allotment,,,,,,,NA,22 Jul 2023
539017,Star Housing Finance Ltd,Nirmal Kumar Jain,Promoter,Equity Shares,3357487,4.35,Equity Shares,46800,2894580.00,Disposal,Equity,3310687,4.29,18 Jul 2023,18 Jul 2023,20 Jul 2023,Market Sale,,,,,,,BSE,22 Jul 2023
539017,Star Housing Finance Ltd,Nirmal Kumar Jain,Promoter,Equity Shares,3282687,4.25,Equity Shares,193000,12250850.00,Disposal,Equity,3089687,4.00,20 Jul 2023,20 Jul 2023,20 Jul 2023,Market Sale,,,,,,,BSE,22 Jul 2023
540204,Eiko Lifesciences Ltd,UMESH RAVINDRANATH MORE,Director,Equity Shares,482389,5.80,Equity Shares,4678,260173.00,Disposal,Equity,477711,5.74,21 Jul 2023,21 Jul 2023,21 Jul 2023,Market Sale,,,,,,,BSE,22 Jul 2023
543282,Niks Technology Ltd,ANAMIKA ANAND,Promoter Group,Equity Shares,3800,1.04,Equity Shares,600,150000.00,Disposal,Equity,3200,0.87,21 Jul 2023,21 Jul 2023,22 Jul 2023,Market Sale,,,,,,,BSE,22 Jul 2023
531637,Praveg Ltd,Jaladhi Prataprai Shah,Director,Equity Shares,10439,0.05,Equity Shares,10439,4767268.00,Disposal,Equity,0,0.00,19 Jul 2023,19 Jul 2023,20 Jul 2023,Market Sale,,,,,,,BSE,22 Jul 2023
